Song Title,Artist,Spotify URI,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Tempo
Seven (feat. Latto) (Instrumental),Jung Kook,2D9mO7arRSeHAEHNVAacaA,0.0479,0.846,0.9,0.839,0.0651,0.0857,0.565,125.041
vampire,Olivia Rodrigo,3k79jB4aGmMDUQzEwa46Rz,0.169,0.511,0.532,0,0.311,0.056,0.322,137.827
My You,Jung Kook,0pNFrM5L0te1EXGxveeYiR,0.421,0.451,0.691,0,0.338,0.0374,0.354,143.997
"Our Blues, Our Life",Lim Young Woong,2jidjmWNeRmKgLjXhW52Gz,0.629,0.381,0.405,0,0.418,0.0325,0.273,130.94
FE!N (feat. Playboi Carti),Travis Scott,42VsgItocQwOQC3XWZ8JNA,0.0316,0.569,0.882,0,0.142,0.06,0.201,148.038
Super,SEVENTEEN,3AOf6YEpxQ894FmrwI9k96,0.162,0.771,0.88,1.41E-06,0.167,0.0857,0.347,137.018
Gangnam Style (강남스타일),PSY,03UrZgTINDqvnUMbbIMhql,0.00417,0.727,0.937,0,0.091,0.286,0.749,132.067
Replay,SHINee,1rp986nzkyAX1wFpxzbwlC,0.178,0.716,0.779,1.16E-06,0.167,0.0805,0.59,99.977
Gee,Girls' Generation,0t7kjpVLgOYITrSfFCoBEA,0.281,0.756,0.93,0,0.11,0.0274,0.737,99.988
MIROTIC,TVXQ!,4BZhUnXvXYRQJPClr0hhIC,0.049,0.722,0.784,0,0.0895,0.0408,0.705,99.985
Touch my body,SISTAR,5crARIrvoMiMf2AdlD78WN,0.0437,0.633,0.915,0,0.107,0.106,0.622,128.033
Bad Girl Good Girl,miss A,7kTKAdVVlDxve6Qr7Hm7Qc,0.1,0.793,0.805,9.03E-05,0.0641,0.0438,0.507,135.987
COME BACK HOME,2NE1,63J1RStsmoVKXNTCHRNxii,0.155,0.572,0.84,0,0.638,0.126,0.146,149.864
I GOT A BOY,Girls' Generation,2WkPfNd237yc0l5KewCDpp,0.0342,0.502,0.863,0,0.538,0.272,0.527,97.911
Mr. Simple,SUPER JUNIOR,6QTBYKLlV2PQniwAWrBV2z,0.000219,0.913,0.745,0.00208,0.0622,0.0506,0.795,127.996
FANTASTIC BABY - Japanese ver.,BIGBANG,26JeAi8xsSvLRoNsl9B8Js,0.00455,0.723,0.828,0,0.0405,0.0729,0.433,130.01
Man In Love,INFINITE,4CLZtVqnJTaTMiPEiwpO0E,0.0433,0.605,0.95,0,0.37,0.0784,0.863,121.986
Lonely,2NE1,5BzfRtVjyC4wbISHdbCvWL,0.225,0.588,0.568,0,0.138,0.0271,0.393,94.83
Give it to me,SISTAR,1t88m8JUlqn9kf0FLmVta5,0.176,0.719,0.945,0,0.576,0.0424,0.961,136.045
Mr.Mr.,Girls' Generation,3JaMGQXJmtbAhvgl0nBPPN,0.114,0.701,0.964,9.34E-06,0.153,0.127,0.484,113.058
Hush,miss A,0K2UTvyyBPSmr0IccCWNZm,0.275,0.769,0.807,0,0.199,0.0494,0.673,125.999
Abracadabra,Brown Eyed Girls,33bXkEzVYbyp1nCTx4KNwc,0.0224,0.803,0.973,8.67E-05,0.0846,0.0953,0.794,128.022
STEP,KARA,3YxK7NqMCWDpmrQ82Wvx25,0.0113,0.618,0.975,3.09E-06,0.423,0.128,0.761,122.939
Electric Shock,f(x),7tMN6iGJMulMFpSCeU7pmU,0.0927,0.757,0.898,7.85E-06,0.493,0.0327,0.537,125.029
FIRE,2NE1,4q2HU9Ijpk4zJ24x7oMdXb,0.00822,0.867,0.783,0.00643,0.302,0.0687,0.701,126.04
I Need A Girl (Feat. G-DRAGON),TAEYANG,34oRc4INwO7000LJUQLy5X,0.471,0.706,0.531,0,0.092,0.0438,0.555,115.018
SHAKE IT,SISTAR,59FBFyeST1vqN8G41YgFS6,0.0234,0.778,0.957,0,0.715,0.0735,0.611,118.997
Bad Boy,BIGBANG,7GLlnuHjYIKy3YR59ziaQe,0.0148,0.597,0.764,0,0.126,0.139,0.364,74.98
다른 남자 말고 너 Only You,miss A,09CAOGrMHucCFL64TYGJ7H,0.0527,0.638,0.767,0,0.276,0.132,0.406,168.076
첫 사랑니 (Rum Pum Pum Pum),f(x),22sIPXiQzcPydCC6skPPPq,0.509,0.774,0.819,1.72E-05,0.239,0.0383,0.543,119.984
Be Mine,INFINITE,3Ase3jvjv2RYIa92MMfu82,0.00194,0.688,0.926,0,0.0936,0.0607,0.756,129.985
Heartbeat,2PM,1H7AvyWHYAYvbjFi1IVUhP,0.00339,0.632,0.914,0,0.134,0.142,0.591,134.899
I Like That,SISTAR,4wAjmojVxc6Wbeca9XvnDo,0.0952,0.564,0.867,0,0.737,0.0881,0.882,154.882
